Year,Month Name,Region Office Name,Dealer Name (Revised),Product Name,Total Sales
2024,February,ROS,HUB MOTORS,ALTO,30
2024,February,ROS,HUB MOTORS,SWIFT,5
2024,February,ROS,I.G. MOTORS,ALTO,41
2024,February,ROS,I.G. MOTORS,SWIFT,15
2024,February,ROS,INTERNATIONAL MOTORS,ALTO,19
2024,February,ROS,INTERNATIONAL MOTORS,SWIFT,1
2024,February,ROS,ITTEHAD MOTORS,ALTO,22
2024,February,ROS,ITTEHAD MOTORS,SWIFT,5
2024,February,ROS,JACOBABAD MOTORS,ALTO,33
2024,February,ROS,JACOBABAD MOTORS,SWIFT,7
2024,February,ROS,JINNAH AVENUE MOTORS,ALTO,31
2024,February,ROS,JINNAH AVENUE MOTORS,SWIFT,8
2024,February,ROS,KASHMORE MOTORS,ALTO,10
2024,February,ROS,KHALIL MOTORS,ALTO,14
2024,February,ROS,KHALIL MOTORS,SWIFT,4
2024,February,ROS,LARKANA MOTORS,ALTO,30
2024,February,ROS,LARKANA MOTORS,SWIFT,5
2024,February,ROS,MALIR CANTT MOTORS,ALTO,24
2024,February,ROS,MALIR CANTT MOTORS,SWIFT,5
2024,February,ROS,MANDVIWALLA MOTORS,ALTO,49
2024,February,ROS,MANDVIWALLA MOTORS,SWIFT,13
2024,February,ROS,MARGALLA MOTORS,ALTO,43
2024,February,ROS,MARGALLA MOTORS,SWIFT,16
2024,February,ROS,MEHRAN MOTORS,ALTO,32
2024,February,ROS,MEHRAN MOTORS,SWIFT,15
2024,February,ROS,MORO MOTORS,ALTO,28
2024,February,ROS,MORO MOTORS,SWIFT,9
2024,February,ROS,NASEER AUTOS,ALTO,44
2024,February,ROS,NASEER AUTOS,SWIFT,12
2024,February,ROS,NAWABSHAH MOTORS,ALTO,30
2024,February,ROS,NAWABSHAH MOTORS,SWIFT,4
2024,February,ROS,PQM MOTORS,ALTO,29
2024,February,ROS,PQM MOTORS,SWIFT,8
2024,February,ROS,QUETTA MOTORS,ALTO,6
2024,February,ROS,RIAZ MOTORS,ALTO,22
2024,February,ROS,RIAZ MOTORS,SWIFT,12
2024,February,ROS,SANGHAR MOTORS,ALTO,16
2024,February,ROS,SNA MOTORS,ALTO,19
2024,February,ROS,SNA MOTORS,SWIFT,4
2024,February,ROS,SUKKUR MOTORS,ALTO,24
2024,February,ROS,SUZUKI MOTORWAYS,ALTO,28
2024,February,ROS,SUZUKI MOTORWAYS,SWIFT,22
2024,February,ROS,SUZUKI SOUTH,ALTO,46
2024,February,ROS,SUZUKI SOUTH,SWIFT,17
2024,February,ROS,TANDO ALLAH YAR MOTORS,ALTO,24
2024,February,ROS,TANDO ALLAH YAR MOTORS,SWIFT,11
2024,February,ROS,THARPARKAR MOTORS,ALTO,22
2024,February,ROS,THARPARKAR MOTORS,SWIFT,21
2024,February,ROS,ZEESHAN AUTOS,ALTO,30
2024,February,ROS,ZEESHAN AUTOS,SWIFT,10
2024,March,ROS,ASHRAF MOTORS,ALTO,11
2024,March,ROS,CARACHI MOTOR,ALTO,51
2024,March,ROS,CARACHI MOTOR,SWIFT,2
2024,March,ROS,CHAMPION MOTORS,ALTO,28
2024,March,ROS,CSD,ALTO,2
2024,March,ROS,DANISH MOTORS,ALTO,51
2024,March,ROS,DANISH MOTORS,SWIFT,8
2024,March,ROS,DEFENCE MOTORS,ALTO,43
2024,March,ROS,DEFENCE MOTORS,SWIFT,4
2024,March,ROS,GM MOTORS,ALTO,29
2024,March,ROS,GWADAR MOTORS,ALTO,4
2024,March,ROS,HIGHWAY MOTORS,ALTO,21
2024,March,ROS,HIGHWAY MOTORS,SWIFT,1
2024,March,ROS,HUB MOTORS,ALTO,18
2024,March,ROS,I.G. MOTORS,ALTO,33
2024,March,ROS,I.G. MOTORS,SWIFT,1
2024,March,ROS,INTERNATIONAL MOTORS,ALTO,24
2024,March,ROS,ITTEHAD MOTORS,ALTO,26
2024,March,ROS,ITTEHAD MOTORS,SWIFT,1
2024,March,ROS,JACOBABAD MOTORS,ALTO,32
2024,March,ROS,JACOBABAD MOTORS,SWIFT,1
2024,March,ROS,JINNAH AVENUE MOTORS,ALTO,20
2024,March,ROS,KASHMORE MOTORS,ALTO,8
2024,March,ROS,KHALIL MOTORS,ALTO,12
2024,March,ROS,KHALIL MOTORS,SWIFT,3
2024,March,ROS,LARKANA MOTORS,ALTO,21
2024,March,ROS,MALIR CANTT MOTORS,ALTO,15
2024,March,ROS,MANDVIWALLA MOTORS,ALTO,31
2024,March,ROS,MANDVIWALLA MOTORS,SWIFT,3
2024,March,ROS,MARGALLA MOTORS,ALTO,47
2024,March,ROS,MARGALLA MOTORS,SWIFT,1
2024,March,ROS,MEHRAN MOTORS,ALTO,43
2024,March,ROS,MEHRAN MOTORS,SWIFT,2
2024,March,ROS,MORO MOTORS,ALTO,27
2024,March,ROS,MORO MOTORS,SWIFT,1
2024,March,ROS,NASEER AUTOS,ALTO,44
2024,March,ROS,NASEER AUTOS,SWIFT,9
2024,March,ROS,NAWABSHAH MOTORS,ALTO,27
2024,March,ROS,NAWABSHAH MOTORS,SWIFT,0
2024,March,ROS,PQM MOTORS,ALTO,29
2024,March,ROS,RIAZ MOTORS,ALTO,34
2024,March,ROS,SANGHAR MOTORS,ALTO,12
2024,March,ROS,SNA MOTORS,ALTO,8
2024,March,ROS,SUKKUR MOTORS,ALTO,17
2024,March,ROS,SUZUKI MOTORWAYS,ALTO,35
2024,March,ROS,SUZUKI MOTORWAYS,SWIFT,7
2024,March,ROS,SUZUKI SOUTH,ALTO,38
2024,March,ROS,SUZUKI SOUTH,SWIFT,10
2024,March,ROS,TANDO ALLAH YAR MOTORS,ALTO,25
2024,March,ROS,TANDO ALLAH YAR MOTORS,SWIFT,2
2024,March,ROS,THARPARKAR MOTORS,ALTO,17
2024,March,ROS,THARPARKAR MOTORS,SWIFT,3
2024,March,ROS,ZEESHAN AUTOS,ALTO,26
2024,March,ROS,ZEESHAN AUTOS,SWIFT,1
2024,April,ROS,ASHRAF MOTORS,ALTO,13
2024,April,ROS,CARACHI MOTOR,ALTO,58
2024,April,ROS,CARACHI MOTOR,SWIFT,13
2024,April,ROS,CHAMPION MOTORS,ALTO,57
2024,April,ROS,CHAMPION MOTORS,SWIFT,2
2024,April,ROS,CSD,ALTO,2
2024,April,ROS,CSD,SWIFT,1
2024,April,ROS,DANISH MOTORS,ALTO,74
2024,April,ROS,DANISH MOTORS,SWIFT,8
2024,April,ROS,DEFENCE MOTORS,ALTO,66
2024,April,ROS,DEFENCE MOTORS,SWIFT,8
2024,April,ROS,GM MOTORS,ALTO,47
2024,April,ROS,GM MOTORS,SWIFT,1
2024,April,ROS,GWADAR MOTORS,ALTO,15
2024,April,ROS,HIGHWAY MOTORS,ALTO,30
2024,April,ROS,HIGHWAY MOTORS,SWIFT,3
2024,April,ROS,HUB MOTORS,ALTO,32
2024,April,ROS,HUB MOTORS,SWIFT,1
2024,April,ROS,I.G. MOTORS,ALTO,55
2024,April,ROS,I.G. MOTORS,SWIFT,7
2024,April,ROS,INTERNATIONAL MOTORS,ALTO,26
2024,April,ROS,INTERNATIONAL MOTORS,SWIFT,1
2024,April,ROS,ITTEHAD MOTORS,ALTO,30
2024,April,ROS,JACOBABAD MOTORS,ALTO,56
2024,April,ROS,JACOBABAD MOTORS,SWIFT,3
2024,April,ROS,JINNAH AVENUE MOTORS,ALTO,53
2024,April,ROS,JINNAH AVENUE MOTORS,SWIFT,3
2024,April,ROS,KASHMORE MOTORS,ALTO,17
2024,April,ROS,KHALIL MOTORS,ALTO,35
2024,April,ROS,KHALIL MOTORS,SWIFT,1
2024,April,ROS,LARKANA MOTORS,ALTO,31
2024,April,ROS,LARKANA MOTORS,SWIFT,3
2024,April,ROS,MALIR CANTT MOTORS,ALTO,39
2024,April,ROS,MALIR CANTT MOTORS,SWIFT,7
2024,April,ROS,MANDVIWALLA MOTORS,ALTO,48
2024,April,ROS,MANDVIWALLA MOTORS,SWIFT,2
2024,April,ROS,MARGALLA MOTORS,ALTO,79
2024,April,ROS,MARGALLA MOTORS,SWIFT,6
2024,April,ROS,MEHRAN MOTORS,ALTO,85
2024,April,ROS,MEHRAN MOTORS,SWIFT,7
2024,April,ROS,MORO MOTORS,ALTO,59
2024,April,ROS,MORO MOTORS,SWIFT,10
2024,April,ROS,NASEER AUTOS,ALTO,91
2024,April,ROS,NASEER AUTOS,SWIFT,5
2024,April,ROS,NAWABSHAH MOTORS,ALTO,42
2024,April,ROS,NAWABSHAH MOTORS,SWIFT,2
2024,April,ROS,PQM MOTORS,ALTO,38
2024,April,ROS,PQM MOTORS,SWIFT,2
2024,April,ROS,QUETTA MOTORS,ALTO,4
2024,April,ROS,QUETTA MOTORS,SWIFT,1
2024,April,ROS,RIAZ MOTORS,ALTO,32
2024,April,ROS,RIAZ MOTORS,SWIFT,3
2024,April,ROS,SANGHAR MOTORS,ALTO,21
2024,April,ROS,SNA MOTORS,ALTO,34
2024,April,ROS,SNA MOTORS,SWIFT,3
2024,April,ROS,SUKKUR MOTORS,ALTO,29
2024,April,ROS,SUKKUR MOTORS,SWIFT,1
2024,April,ROS,SUZUKI MOTORWAYS,ALTO,65
2024,April,ROS,SUZUKI MOTORWAYS,SWIFT,11
2024,April,ROS,SUZUKI SOUTH,ALTO,59
2024,April,ROS,SUZUKI SOUTH,SWIFT,10
2024,April,ROS,TANDO ALLAH YAR MOTORS,ALTO,41
2024,April,ROS,TANDO ALLAH YAR MOTORS,SWIFT,4
2024,April,ROS,THARPARKAR MOTORS,ALTO,30
2024,April,ROS,THARPARKAR MOTORS,SWIFT,8
2024,April,ROS,ZEESHAN AUTOS,ALTO,41
2024,April,ROS,ZEESHAN AUTOS,SWIFT,7
2024,May,ROS,ASHRAF MOTORS,ALTO,17
2024,May,ROS,ASHRAF MOTORS,SWIFT,2
2024,May,ROS,CARACHI MOTOR,ALTO,74
2024,May,ROS,CARACHI MOTOR,SWIFT,13
2024,May,ROS,CHAMPION MOTORS,ALTO,33
2024,May,ROS,CHAMPION MOTORS,SWIFT,15
2024,May,ROS,CSD,ALTO,3
2024,May,ROS,DANISH MOTORS,ALTO,74
2024,May,ROS,DANISH MOTORS,SWIFT,11
2024,May,ROS,DEFENCE MOTORS,ALTO,55
2024,May,ROS,DEFENCE MOTORS,SWIFT,9
2024,May,ROS,GM MOTORS,ALTO,28
2024,May,ROS,GM MOTORS,SWIFT,5
2024,May,ROS,GWADAR MOTORS,ALTO,10
2024,May,ROS,GWADAR MOTORS,SWIFT,4
2024,May,ROS,HIGHWAY MOTORS,ALTO,31
2024,May,ROS,HIGHWAY MOTORS,SWIFT,4
2024,May,ROS,HUB MOTORS,ALTO,29
2024,May,ROS,HUB MOTORS,SWIFT,5
2024,May,ROS,I.G. MOTORS,ALTO,65
2024,May,ROS,I.G. MOTORS,SWIFT,10
2024,May,ROS,INTERNATIONAL MOTORS,ALTO,25
2024,May,ROS,INTERNATIONAL MOTORS,SWIFT,4
2024,May,ROS,ITTEHAD MOTORS,ALTO,22
2024,May,ROS,ITTEHAD MOTORS,SWIFT,7
2024,May,ROS,JACOBABAD MOTORS,ALTO,34
2024,May,ROS,JACOBABAD MOTORS,SWIFT,9
2024,May,ROS,JINNAH AVENUE MOTORS,ALTO,41
2024,May,ROS,JINNAH AVENUE MOTORS,SWIFT,9
2024,May,ROS,KASHMORE MOTORS,ALTO,13
2024,May,ROS,KHALIL MOTORS,ALTO,16
2024,May,ROS,KHALIL MOTORS,SWIFT,6
2024,May,ROS,LARKANA MOTORS,ALTO,24
2024,May,ROS,LARKANA MOTORS,SWIFT,5
2024,May,ROS,MALIR CANTT MOTORS,ALTO,25
2024,May,ROS,MALIR CANTT MOTORS,SWIFT,5
2024,May,ROS,MANDVIWALLA MOTORS,ALTO,55
2024,May,ROS,MANDVIWALLA MOTORS,SWIFT,17
2024,May,ROS,MARGALLA MOTORS,ALTO,98
2024,May,ROS,MARGALLA MOTORS,SWIFT,15
2024,May,ROS,MEHRAN MOTORS,ALTO,41
2024,May,ROS,MEHRAN MOTORS,SWIFT,10
2024,May,ROS,MORO MOTORS,ALTO,34
2024,May,ROS,MORO MOTORS,SWIFT,9
2024,May,ROS,NASEER AUTOS,ALTO,66
2024,May,ROS,NASEER AUTOS,SWIFT,11
2024,May,ROS,NAWABSHAH MOTORS,ALTO,31
2024,May,ROS,NAWABSHAH MOTORS,SWIFT,4
2024,May,ROS,PQM MOTORS,ALTO,34
2024,May,ROS,PQM MOTORS,SWIFT,6
2024,May,ROS,QUETTA MOTORS,ALTO,1
2024,May,ROS,RIAZ MOTORS,ALTO,35
2024,May,ROS,RIAZ MOTORS,SWIFT,11
2024,May,ROS,SANGHAR MOTORS,ALTO,29
2024,May,ROS,SANGHAR MOTORS,SWIFT,5
2024,May,ROS,SNA MOTORS,ALTO,23
2024,May,ROS,SNA MOTORS,SWIFT,6
2024,May,ROS,SUKKUR MOTORS,ALTO,25
2024,May,ROS,SUZUKI MOTORWAYS,ALTO,45
2024,May,ROS,SUZUKI MOTORWAYS,SWIFT,13
2024,May,ROS,SUZUKI SOUTH,ALTO,57
2024,May,ROS,SUZUKI SOUTH,SWIFT,14
2024,May,ROS,TANDO ALLAH YAR MOTORS,ALTO,40
2024,May,ROS,TANDO ALLAH YAR MOTORS,SWIFT,11
2024,May,ROS,THARPARKAR MOTORS,ALTO,27
2024,May,ROS,THARPARKAR MOTORS,SWIFT,7
2024,May,ROS,ZEESHAN AUTOS,ALTO,39
2024,May,ROS,ZEESHAN AUTOS,SWIFT,8
2024,June,ROS,ASHRAF MOTORS,ALTO,14
2024,June,ROS,ASHRAF MOTORS,SWIFT,1
2024,June,ROS,CARACHI MOTOR,ALTO,63
2024,June,ROS,CARACHI MOTOR,SWIFT,33
2024,June,ROS,CHAMPION MOTORS,ALTO,50
2024,June,ROS,CHAMPION MOTORS,SWIFT,17
2024,June,ROS,CSD,ALTO,3
2024,June,ROS,DANISH MOTORS,ALTO,58
2024,June,ROS,DANISH MOTORS,SWIFT,46
2024,June,ROS,DEFENCE MOTORS,ALTO,64
2024,June,ROS,DEFENCE MOTORS,SWIFT,23
2024,June,ROS,GM MOTORS,ALTO,35
2024,June,ROS,GM MOTORS,SWIFT,1
2024,June,ROS,GWADAR MOTORS,ALTO,9
2024,June,ROS,HIGHWAY MOTORS,ALTO,37
2024,June,ROS,HIGHWAY MOTORS,SWIFT,11
2024,June,ROS,HUB MOTORS,ALTO,31
2024,June,ROS,HUB MOTORS,SWIFT,4
2024,June,ROS,I.G. MOTORS,ALTO,69
2024,June,ROS,I.G. MOTORS,SWIFT,12
2024,June,ROS,INTERNATIONAL MOTORS,ALTO,24
2024,June,ROS,INTERNATIONAL MOTORS,SWIFT,4
2024,June,ROS,ITTEHAD MOTORS,ALTO,32
2024,June,ROS,ITTEHAD MOTORS,SWIFT,6
2024,June,ROS,JACOBABAD MOTORS,ALTO,44
2024,June,ROS,JACOBABAD MOTORS,SWIFT,5
2024,June,ROS,JINNAH AVENUE MOTORS,ALTO,37
2024,June,ROS,JINNAH AVENUE MOTORS,SWIFT,17
2024,June,ROS,KASHMORE MOTORS,ALTO,2
2024,June,ROS,KASHMORE MOTORS,SWIFT,1
2024,June,ROS,KHALIL MOTORS,ALTO,24
2024,June,ROS,KHALIL MOTORS,SWIFT,11
2024,June,ROS,LARKANA MOTORS,ALTO,14
2024,June,ROS,LARKANA MOTORS,SWIFT,10
2024,June,ROS,MALIR CANTT MOTORS,ALTO,30
2024,June,ROS,MALIR CANTT MOTORS,SWIFT,11
2024,June,ROS,MANDVIWALLA MOTORS,ALTO,51
2024,June,ROS,MANDVIWALLA MOTORS,SWIFT,23
2024,June,ROS,MARGALLA MOTORS,ALTO,83
2024,June,ROS,MARGALLA MOTORS,SWIFT,44
2024,June,ROS,MEHRAN MOTORS,ALTO,36
2024,June,ROS,MEHRAN MOTORS,SWIFT,19
2024,June,ROS,MORO MOTORS,ALTO,40
2024,June,ROS,MORO MOTORS,SWIFT,9
2024,June,ROS,NASEER AUTOS,ALTO,86
2024,June,ROS,NASEER AUTOS,SWIFT,30
2024,June,ROS,NAWABSHAH MOTORS,ALTO,25
2024,June,ROS,NAWABSHAH MOTORS,SWIFT,5
2024,June,ROS,PQM MOTORS,ALTO,48
2024,June,ROS,PQM MOTORS,SWIFT,16
2024,June,ROS,QUETTA MOTORS,ALTO,1
2024,June,ROS,RIAZ MOTORS,ALTO,50
2024,June,ROS,RIAZ MOTORS,SWIFT,9
2024,June,ROS,SANGHAR MOTORS,ALTO,17
2024,June,ROS,SANGHAR MOTORS,SWIFT,2
2024,June,ROS,SNA MOTORS,ALTO,19
2024,June,ROS,SNA MOTORS,SWIFT,8
2024,June,ROS,SUKKUR MOTORS,ALTO,29
2024,June,ROS,SUKKUR MOTORS,SWIFT,6
2024,June,ROS,SUZUKI MOTORWAYS,ALTO,68
2024,June,ROS,SUZUKI MOTORWAYS,SWIFT,19
2024,June,ROS,SUZUKI SOUTH,ALTO,101
2024,June,ROS,SUZUKI SOUTH,SWIFT,40
2024,June,ROS,TANDO ALLAH YAR MOTORS,ALTO,26
2024,June,ROS,TANDO ALLAH YAR MOTORS,SWIFT,9
2024,June,ROS,THARPARKAR MOTORS,ALTO,29
2024,June,ROS,THARPARKAR MOTORS,SWIFT,19
2024,June,ROS,ZEESHAN AUTOS,ALTO,43
2024,June,ROS,ZEESHAN AUTOS,SWIFT,16
2024,July,ROS,ASHRAF MOTORS,ALTO,8
2024,July,ROS,CARACHI MOTOR,ALTO,35
2024,July,ROS,CARACHI MOTOR,SWIFT,13
2024,July,ROS,CHAMPION MOTORS,ALTO,46
2024,July,ROS,CHAMPION MOTORS,SWIFT,24
2024,July,ROS,CSD,ALTO,1
2024,July,ROS,DANISH MOTORS,ALTO,39
2024,July,ROS,DANISH MOTORS,SWIFT,11
2024,July,ROS,DEFENCE MOTORS,ALTO,27
2024,July,ROS,DEFENCE MOTORS,SWIFT,7
2024,July,ROS,GM MOTORS,ALTO,18
2024,July,ROS,GM MOTORS,SWIFT,1
2024,July,ROS,GWADAR MOTORS,ALTO,3
2024,July,ROS,HIGHWAY MOTORS,ALTO,14
2024,July,ROS,HIGHWAY MOTORS,SWIFT,3
2024,July,ROS,I.G. MOTORS,ALTO,43
2024,July,ROS,I.G. MOTORS,SWIFT,19
2024,July,ROS,INTERNATIONAL MOTORS,ALTO,24
2024,July,ROS,ITTEHAD MOTORS,ALTO,19
2024,July,ROS,ITTEHAD MOTORS,SWIFT,4
2024,July,ROS,JACOBABAD MOTORS,ALTO,30
2024,July,ROS,JACOBABAD MOTORS,SWIFT,1
2024,July,ROS,JINNAH AVENUE MOTORS,ALTO,29
2024,July,ROS,JINNAH AVENUE MOTORS,SWIFT,12
2024,July,ROS,KASHMORE MOTORS,ALTO,9
2024,July,ROS,KHALIL MOTORS,ALTO,25
2024,July,ROS,KHALIL MOTORS,SWIFT,3
2024,July,ROS,LARKANA MOTORS,ALTO,23
2024,July,ROS,LARKANA MOTORS,SWIFT,2
2024,July,ROS,MALIR CANTT MOTORS,ALTO,19
2024,July,ROS,MALIR CANTT MOTORS,SWIFT,3
2024,July,ROS,MANDVIWALLA MOTORS,ALTO,27
2024,July,ROS,MANDVIWALLA MOTORS,SWIFT,11
2024,July,ROS,MARGALLA MOTORS,ALTO,61
2024,July,ROS,MARGALLA MOTORS,SWIFT,15
2024,July,ROS,MEHRAN MOTORS,ALTO,48
2024,July,ROS,MEHRAN MOTORS,SWIFT,20
2024,July,ROS,MORO MOTORS,ALTO,25
2024,July,ROS,MORO MOTORS,SWIFT,8
2024,July,ROS,NASEER AUTOS,ALTO,18
2024,July,ROS,NASEER AUTOS,SWIFT,4
2024,July,ROS,NAWABSHAH MOTORS,ALTO,21
2024,July,ROS,NAWABSHAH MOTORS,SWIFT,2
2024,July,ROS,PQM MOTORS,ALTO,20
2024,July,ROS,PQM MOTORS,SWIFT,4
2024,July,ROS,QUETTA MOTORS,ALTO,1
2024,July,ROS,RIAZ MOTORS,ALTO,23
2024,July,ROS,RIAZ MOTORS,SWIFT,4
2024,July,ROS,SANGHAR MOTORS,ALTO,6
2024,July,ROS,SNA MOTORS,ALTO,34
2024,July,ROS,SNA MOTORS,SWIFT,1
2024,July,ROS,SUKKUR MOTORS,ALTO,22
2024,July,ROS,SUKKUR MOTORS,SWIFT,4
2024,July,ROS,SUZUKI MOTORWAYS,ALTO,34
2024,July,ROS,SUZUKI MOTORWAYS,SWIFT,15
2024,July,ROS,SUZUKI SOUTH,ALTO,41
2024,July,ROS,SUZUKI SOUTH,SWIFT,9
2024,July,ROS,TANDO ALLAH YAR MOTORS,ALTO,11
2024,July,ROS,TANDO ALLAH YAR MOTORS,SWIFT,5
2024,July,ROS,THARPARKAR MOTORS,ALTO,19
2024,July,ROS,THARPARKAR MOTORS,SWIFT,5
2024,July,ROS,ZEESHAN AUTOS,ALTO,31
2024,July,ROS,ZEESHAN AUTOS,SWIFT,4
2024,August,ROS,ASHRAF MOTORS,ALTO,12
2024,August,ROS,ASHRAF MOTORS,SWIFT,3
2024,August,ROS,CARACHI MOTOR,ALTO,37
2024,August,ROS,CARACHI MOTOR,SWIFT,10
2024,August,ROS,CHAMPION MOTORS,ALTO,42
2024,August,ROS,CHAMPION MOTORS,SWIFT,3
2024,August,ROS,CSD,ALTO,1
2024,August,ROS,CSD,SWIFT,1
2024,August,ROS,DANISH MOTORS,ALTO,40
2024,August,ROS,DANISH MOTORS,SWIFT,9
2024,August,ROS,DEFENCE MOTORS,ALTO,31
2024,August,ROS,DEFENCE MOTORS,SWIFT,7
2024,August,ROS,GM MOTORS,ALTO,16
2024,August,ROS,GM MOTORS,SWIFT,1
2024,August,ROS,GWADAR MOTORS,ALTO,7
2024,August,ROS,GWADAR MOTORS,SWIFT,1
2024,August,ROS,HIGHWAY MOTORS,ALTO,14
2024,August,ROS,HIGHWAY MOTORS,SWIFT,3
2024,August,ROS,I.G. MOTORS,ALTO,27
2024,August,ROS,I.G. MOTORS,SWIFT,7
2024,August,ROS,INTERNATIONAL MOTORS,ALTO,22
2024,August,ROS,INTERNATIONAL MOTORS,SWIFT,5
2024,August,ROS,ITTEHAD MOTORS,ALTO,26
2024,August,ROS,ITTEHAD MOTORS,SWIFT,3
2024,August,ROS,JACOBABAD MOTORS,ALTO,9
2024,August,ROS,JACOBABAD MOTORS,SWIFT,3
2024,August,ROS,JINNAH AVENUE MOTORS,ALTO,19
2024,August,ROS,JINNAH AVENUE MOTORS,SWIFT,1
2024,August,ROS,KASHMORE MOTORS,ALTO,5
2024,August,ROS,KHALIL MOTORS,ALTO,26
2024,August,ROS,KHALIL MOTORS,SWIFT,1
2024,August,ROS,LARKANA MOTORS,ALTO,11
2024,August,ROS,LARKANA MOTORS,SWIFT,4
2024,August,ROS,MALIR CANTT MOTORS,ALTO,20
2024,August,ROS,MALIR CANTT MOTORS,SWIFT,3
2024,August,ROS,MANDVIWALLA MOTORS,ALTO,28
